Sl no.,Duration (in seconds),AIToolName_1,AIToolName_2,AIToolName_3,AIToolName_4,AIToolName_5,S1_1,S1_2,S1_3,S1_4,S1_5,HM_1,HM_2,HM_3,HM_4,Asp_1,Asp_2,Asp_3,Asp_4,Asp_5,Who,How ,Why,When_1,When_2,When_3,When_4,When_5,PE_1,PE_2,PE_3,PE_4,PE_5,EE_1,EE_2,EE_3,EE_4,AC_1,PA_1,PA_2,PA_3,PA_4,PA_5,PA_6,PA_7,PA_8,PA_9,PA_10,NA_1,NA_2,NA_3,NA_4,NA_5,NA_6,NA_7,NA_8,NA_9,NA_10,AIUse_1,AIUse_2,AIUse_3,AIUse_4,AIUse_5,AIUse_6,AIUse_7,AIUse_8,AIUse_9,AIObj_1,AIObj_2,AIObj_3,AIObj_4,AIObj_5,AIObj_6,AIObj_7,AIObj_8,AC_2,AITask_1,AITask_2,AITask_3,AITask_4,AITask_5,AITask_7,AITask_8,AITask_6,Freq,AIL_1,AIL_2,AIL_3,AIL_4,AIL_5,AIL_6,AIL_7,AIL_8,AC_3,Gender,Age,WrkExp,AIExp,WhoHuman,WhoAgent,WhoBoth,WhoNotSure,HowContinuously,HowDiscretely,HowBoth,HowNotSure,HowNever,WhyPreEmptively,WhyCorrectively,WhyBoth,WhyNotSure,WhyNever,LevelOfAutonomy,PATotal,NATotal,PAScaled,NAScaled
55,211,TeachmateAI,ChatGDP,,,,2,3,5,5,6,6,6,6,6,1,,,1,,1,1,3,,,,1,,6,3,6,6,6,6,6,6,6,1,77,87,91,86,87,87,90,93,93,84,2,2,58,2,3,4,5,2,4,5,3,6,3,2,2,3,6,6,2,2,2,1,2,2,2,2,2,7,1,1,,,1,,,,5,2,2,2,5,5,2,2,1,1,1,36,13,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,875,87,6.13,0.61
56,755,ChatGPT,,,,,2,4,5,3,3,6,6,6,6,1,,,1,,3,4,3,,,1,,,6,6,6,5,5,5,5,5,5,1,87,84,80,80,60,80,40,53,80,79,5,6,80,20,3,4,40,20,9,7,5,5,6,5,5,3,5,5,5,5,5,5,5,6,5,5,6,7,,1,,1,,1,1,,1,6,3,4,6,7,5,4,5,1,2,45,28,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4,723,194,5.06,1.36
57,330,ChatGPT,Llama,POE,Midjourney,,6,5,5,5,5,6,5,5,5,1,,1,1,,3,2,1,,1,1,,,5,5,5,4,5,5,5,6,5,1,69,59,59,60,52,59,63,65,63,57,21,17,43,28,14,13,11,12,11,12,4,5,5,5,5,6,5,5,4,3,3,2,3,2,3,3,3,7,,1,1,1,,1,,,3,6,5,5,5,6,5,5,5,1,2,49,23,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,4,606,182,4.24,1.27
58,357,Chat GPT,,,,,2,6,2,6,5,5,5,6,5,1,,1,1,,3,2,3,,,1,,,6,5,6,4,6,7,7,7,7,1,49,24,18,76,22,49,74,41,72,26,22,17,45,14,13,14,15,32,7,7,5,5,5,5,5,6,6,5,2,1,2,2,2,1,1,1,5,7,,,,1,,,,,1,5,5,5,6,6,5,5,5,1,2,32,13,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,451,186,3.16,1.3
59,285,ChatGPT,,,,,4,4,2,4,4,6,6,6,6,1,1,1,1,,1,1,3,1,1,1,,,5,4,5,5,6,7,7,7,7,1,80,50,61,80,78,81,80,80,80,82,0,0,0,0,0,0,0,0,0,0,5,6,5,6,4,6,6,6,6,1,1,1,1,1,1,1,1,7,,1,,1,1,1,1,,1,6,6,6,6,6,6,5,5,1,4,27,7,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,752,0,5.26,0
60,295,Chat GPT,Co-Pilot,,,,4,4,5,5,5,6,6,6,6,1,1,,1,,1,2,3,,,1,,,6,6,6,6,7,7,7,7,7,1,79,79,60,80,72,72,56,91,87,46,3,4,20,17,0,8,0,7,0,1,6,6,6,5,6,6,6,3,5,1,1,1,1,1,1,1,2,7,,1,,,,1,,,3,7,7,7,7,6,7,7,7,1,2,28,10,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,722,60,5.05,0.42
61,503,Refabric,ChatGPT,,,,4,1,1,4,1,6,6,6,6,,,1,1,,3,3,3,1,,,,,4,2,4,2,6,6,6,6,6,1,100,60,49,74,50,60,85,58,79,61,2,0,0,0,0,0,0,0,0,0,4,5,4,6,5,6,6,6,5,2,3,2,2,2,2,2,2,7,,,,,1,,,,3,4,6,6,5,6,5,4,5,1,2,66,44,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,676,2,4.73,0.01
62,265,chat gpt,,,,,4,4,5,5,4,5,6,6,6,1,1,1,1,,1,1,2,,,1,,,5,6,4,5,5,6,6,5,5,1,55,63,53,66,65,56,19,25,15,17,8,1,0,4,2,8,0,0,1,1,6,6,4,5,7,5,6,6,6,2,3,3,3,3,3,2,2,7,,1,,,,,,,3,4,5,4,5,4,3,4,4,1,2,26,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,434,25,3.04,0.18
63,451,Chat gpt,Google cloud ai,,,,4,5,3,4,3,5,5,4,5,,,1,1,,3,3,3,,,1,,,5,5,5,5,5,6,6,6,6,1,70,42,41,57,47,20,46,44,13,22,13,4,9,21,3,8,8,26,5,6,6,6,6,5,5,5,5,5,5,3,2,3,2,3,4,2,5,7,,1,1,1,,,,,2,6,6,5,5,6,5,5,6,1,2,28,13,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,402,103,2.81,0.72
64,360,chatgpt,Quillbot,,,,4,5,5,5,5,6,6,6,6,1,1,,1,,3,3,2,,,,1,,4,5,5,5,7,6,6,6,6,1,88,86,87,87,78,87,88,87,84,95,88,0,10,0,0,16,0,0,0,0,6,6,6,6,6,6,6,6,6,1,1,1,2,1,1,1,3,7,,,,,1,,1,,1,6,5,6,6,6,6,5,5,1,2,50,5,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,867,114,6.07,0.8
65,386,ChatGPT,,,,,2,3,2,2,2,4,5,5,5,1,1,1,1,,1,4,3,1,,,,,4,3,5,2,5,6,6,6,6,1,57,47,27,41,5,24,40,26,42,23,10,4,26,2,3,3,13,4,3,4,3,4,3,4,5,4,6,6,5,3,2,2,3,2,3,3,3,7,,,,,1,1,,,3,5,5,4,5,6,4,3,5,1,1,28,4,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,332,72,2.32,0.5
66,510,Microsoft office ,Zoom,Chat box ,Microsoft teams ,,4,7,6,6,7,5,6,6,6,1,,1,1,,3,1,2,,,1,,,7,6,6,6,7,7,6,6,7,1,77,61,74,85,75,85,80,78,76,83,19,8,5,3,6,10,6,6,10,10,5,6,5,5,6,7,6,6,6,2,2,1,1,2,1,2,2,7,,1,,1,1,,,,1,4,5,6,6,7,5,5,5,1,2,54,30,25,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,774,83,5.42,0.58
67,272,ChatGPT,,,,,3,5,4,5,5,3,4,4,5,1,1,1,1,,3,2,2,,1,,,,4,4,5,5,5,5,5,5,5,1,69,48,49,69,36,60,51,58,65,58,20,12,20,5,1,12,15,6,12,4,3,6,3,5,4,4,5,5,5,4,3,3,3,3,4,4,5,7,,1,,,,,,,3,6,6,6,4,5,6,5,5,1,2,22,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,563,107,3.94,0.75
68,410,Chat GPT,Copy.AI,Midjourney,,,4,4,5,4,5,6,6,5,6,1,,,1,,1,2,3,,,1,,,4,4,4,5,5,5,5,6,5,1,79,68,51,67,42,37,90,93,76,62,29,28,53,37,27,27,60,27,30,88,2,5,6,4,3,2,4,5,4,3,3,3,3,5,5,3,5,7,,,1,1,,1,,,3,4,3,5,5,6,5,4,5,1,2,33,9,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,665,406,4.66,2.84
69,284,ChatGPT,Copilot,,,,1,1,1,1,1,2,2,2,2,1,,,1,,1,3,2,,,1,,,2,2,2,2,2,5,3,4,5,1,13,0,57,8,3,57,6,65,88,29,74,76,85,5,62,83,89,80,9,22,2,2,2,3,3,3,3,3,3,7,6,6,4,7,7,6,7,7,,,,1,1,,,,3,6,5,6,6,6,6,6,5,1,1,42,18,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,4,326,585,2.28,4.1
70,933,Chatgpt,Lirio,Microsoft fabric,Azure ai,Nuance dragon ambience experience,5,6,6,6,7,7,7,6,7,1,,,,,1,1,2,,,1,,,5,5,7,5,7,7,7,7,6,1,88,69,82,78,60,66,83,88,81,75,24,23,41,27,40,27,9,50,49,14,5,6,5,6,7,6,6,6,7,1,1,1,2,1,2,2,2,7,,1,,,1,1,,,1,6,5,6,6,7,6,6,6,1,1,72,31,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,770,304,5.39,2.13
71,451,Chatgpt,,,,,2,5,2,4,6,6,6,3,5,1,1,,1,,1,1,3,,,1,,,2,3,5,3,7,7,7,7,7,1,79,72,34,81,19,17,79,33,22,19,2,5,46,4,5,3,0,2,2,2,6,5,6,4,5,6,7,3,7,2,2,2,2,2,6,2,5,7,1,1,,,,1,1,,1,3,5,5,5,6,2,5,5,1,2,45,17,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4,455,71,3.19,0.5
72,361,ChatGPT,,,,,2,4,4,4,5,4,4,4,5,1,1,1,1,,1,1,3,,,1,,,4,4,4,4,6,5,5,5,4,1,70,8,3,54,8,8,8,59,60,5,47,7,47,7,9,6,33,10,12,7,5,4,5,5,6,6,5,5,5,2,2,2,2,2,2,2,2,7,,1,,,,,,,1,4,5,5,6,4,5,5,5,1,2,31,11,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,283,185,1.98,1.3
73,260,Chat GP,,,,,5,4,3,5,5,5,6,6,5,,,1,,,1,3,2,,,1,,,5,4,5,4,5,6,7,5,6,1,80,74,64,73,58,88,61,72,73,62,9,4,18,1,0,7,0,13,1,2,6,7,6,5,7,7,6,7,6,2,3,2,2,3,2,2,1,7,,1,,,,,1,,3,4,4,5,5,5,3,3,5,1,1,58,34,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,4,705,55,4.94,0.39
74,550,siri,,,,,5,5,3,6,4,5,5,5,5,,,,1,,3,2,2,,,1,,,4,3,5,3,5,4,5,5,4,1,79,60,59,80,79,59,79,61,60,61,0,0,0,0,0,0,0,20,0,0,5,2,5,3,3,3,3,3,2,2,3,4,5,3,4,3,5,7,,1,1,,,,,,3,3,4,4,4,5,5,3,5,1,1,41,22,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4,677,20,4.74,0.14
75,332,ChatGPT,,,,,4,5,2,4,4,5,5,5,5,1,,1,1,,1,3,1,,,1,,,3,3,3,2,5,6,5,6,6,1,80,66,31,62,18,68,74,44,87,67,2,5,2,13,3,3,5,2,2,2,3,6,2,6,6,6,6,6,6,2,3,2,2,2,2,2,2,7,,,,1,1,,,,1,4,5,5,5,6,5,5,5,1,1,55,40,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4,597,39,4.18,0.27
76,641,Chat GPT,Gemini,Quillbot,,,1,4,1,4,4,5,6,4,6,,,1,1,,1,2,3,,,,1,,4,4,4,4,6,6,6,5,5,1,60,43,43,15,15,6,90,15,48,6,8,1,14,0,0,20,5,0,0,0,5,4,5,2,4,4,4,4,2,3,3,2,3,3,3,3,3,7,,,,1,,,,,3,5,5,5,6,5,4,5,6,1,1,23,6,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4,341,48,2.39,0.34
77,285,Chat GPT,,,,,3,6,2,6,2,6,5,6,6,1,,,,,3,2,2,,,,1,,3,2,2,2,2,6,6,6,6,1,76,62,58,80,61,60,61,81,64,62,2,18,61,19,24,20,20,20,22,18,2,2,1,2,2,6,5,2,2,2,5,2,2,2,4,2,6,7,,,,1,,,,,3,2,2,2,5,3,2,2,2,1,1,32,7,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4,665,224,4.66,1.57
78,741,ChatGpt,Jasperai,Midjourney,,,2,4,2,2,5,4,6,4,6,,1,1,1,,1,1,2,,,,1,,5,4,5,5,5,6,6,6,6,1,97,77,74,84,52,71,82,88,89,89,0,0,0,0,0,0,0,0,0,0,3,6,3,6,4,6,5,6,4,2,3,2,2,6,4,2,6,7,,,1,,1,1,,,3,5,5,5,5,6,5,5,7,1,1,42,25,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,803,0,5.62,0
79,717,Nora,,,,,6,7,5,5,5,5,5,5,5,,,,1,,2,5,2,,,,1,,4,4,3,4,5,6,6,7,6,1,75,60,60,65,60,75,65,80,85,80,20,26,1,1,1,25,0,1,0,1,6,5,6,4,4,4,5,5,4,2,3,2,2,2,2,2,4,7,,,,1,,,,,1,5,5,5,6,7,7,6,7,1,1,59,38,5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4,705,76,4.94,0.53
80,404,Chat gpt,,,,,4,5,3,4,4,4,4,4,5,,,,,1,3,3,3,,,1,,,5,5,5,5,5,6,6,6,6,1,60,40,80,61,79,98,79,94,100,79,10,8,9,10,10,10,10,9,8,5,3,5,3,6,5,6,5,5,5,3,3,3,5,4,6,3,6,7,1,1,,,,,,,3,5,6,6,6,6,3,3,3,1,1,38,13,5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4,770,89,5.39,0.62
81,403,ChatGPT,Copilot,,,,1,5,1,6,4,6,6,6,5,1,,,1,,4,4,1,,,1,,,2,1,3,1,5,5,5,6,6,1,80,40,0,60,12,70,10,0,20,0,0,10,0,0,25,0,0,0,0,0,2,4,3,6,4,5,6,6,4,4,4,5,5,4,4,3,4,7,,,,,1,1,,,3,4,6,5,6,6,6,6,6,1,2,29,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4,292,35,2.04,0.25
82,560,ChatGPT,Grammarly ,Canva,,,1,3,2,5,3,6,6,6,6,,1,,1,,2,2,3,,,1,,,5,5,5,6,6,7,7,7,5,1,100,59,59,80,62,80,80,100,67,88,0,1,22,3,9,1,1,1,4,1,5,5,6,5,5,5,6,6,5,2,1,1,2,1,3,2,1,7,1,,,1,,,1,,3,5,5,5,5,6,3,3,3,1,1,39,24,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4,775,43,5.43,0.3
83,361,Chat-GPT,,,,,5,5,3,4,5,6,6,6,6,1,,,1,,1,2,1,,,1,,,3,3,4,3,6,5,6,5,5,1,80,61,60,80,60,61,64,64,72,40,6,3,3,3,4,4,2,9,3,3,5,5,5,2,4,4,5,5,3,3,3,3,5,2,3,3,4,7,,,,,1,1,,,5,5,4,5,5,3,4,4,5,1,1,39,20,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,642,40,4.49,0.28
84,446,chat gpt,,,,,2,2,2,2,5,5,5,6,6,,,,1,,1,4,1,,,,1,,5,5,5,5,6,4,5,5,4,1,21,21,17,23,1,7,20,8,15,2,15,0,3,0,0,0,0,0,0,0,1,2,1,2,2,4,6,6,2,2,2,2,3,2,3,2,3,7,,,,1,,1,,,3,2,2,3,5,6,2,2,2,1,1,42,20,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,135,18,0.95,0.13
85,291,Chat GPT,Google Bard,,,,6,6,6,6,6,7,7,7,7,1,1,,1,,3,1,1,,,,1,,5,5,4,4,6,7,6,7,7,1,100,74,19,82,71,66,66,86,100,97,6,11,4,5,11,6,4,12,8,8,6,6,6,5,7,5,5,6,5,2,2,2,3,2,5,3,6,7,,,,,1,1,,,2,4,5,5,5,5,5,4,6,1,1,35,18,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,4,761,75,5.33,0.53
86,459,CHATGPT,Asana,,,,2,4,2,4,4,6,6,6,6,,,1,1,,2,2,3,,,1,,,3,3,5,6,5,6,6,6,6,1,80,81,59,78,40,61,21,20,79,75,3,4,2,2,2,14,2,2,2,1,3,6,5,6,6,6,6,6,6,3,4,3,3,3,3,3,3,7,,,,1,1,1,,,1,5,5,5,5,5,5,5,5,1,1,48,24,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,594,34,4.16,0.24
87,211,Chat GPT,CoPilot,,,,1,2,2,2,4,5,4,5,6,1,1,1,1,,1,1,1,,,1,,,2,3,1,2,4,7,5,6,4,1,23,0,21,21,0,20,19,60,40,21,0,0,0,0,0,5,0,0,0,0,4,3,2,1,6,4,4,4,5,3,4,1,3,3,6,2,4,7,,,,,1,1,,,5,5,6,6,6,6,7,7,7,1,1,28,10,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,225,5,1.58,0.04
88,510,Bing chat,Google Image,,,,3,7,3,5,5,7,7,7,7,1,1,1,1,,3,3,3,,,1,,,5,3,5,4,7,7,7,7,6,1,84,89,89,99,86,93,97,96,89,95,0,2,3,3,4,3,3,4,2,2,6,7,7,6,5,6,6,5,7,1,2,1,2,2,2,2,1,7,,1,1,1,1,1,1,,3,6,6,5,7,7,4,6,2,1,1,44,18,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,917,26,6.42,0.18
89,411,CHATGPT,,,,,1,6,2,4,4,4,5,4,5,,,,1,,1,4,4,,,,1,,6,4,5,3,6,5,5,5,5,1,73,44,51,49,58,41,49,54,56,63,20,20,19,19,19,19,20,19,20,20,4,3,3,4,4,3,4,4,5,3,5,2,2,2,3,4,4,7,,,1,1,,,,,1,3,6,5,5,7,5,4,4,1,2,41,24,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4,538,195,3.77,1.37
90,524,Microsoft Teams,Trac,Data programmes,,,5,6,5,6,6,6,6,6,6,,,1,1,,4,3,3,,,1,,,4,3,4,5,6,6,6,6,6,1,80,50,70,80,19,80,60,61,80,60,20,22,9,5,7,8,4,8,8,5,5,6,5,6,6,6,6,6,6,2,2,2,2,2,2,2,2,7,,1,,1,,,,,1,5,6,5,4,5,4,5,5,1,1,52,30,4,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,640,96,4.48,0.67
91,455,Chat gpt,,,,,5,5,5,5,4,5,5,5,5,1,1,,,,1,1,3,1,,,,,5,5,4,3,5,5,4,5,5,1,62,63,48,63,56,66,67,67,68,63,24,21,15,11,7,7,7,7,15,6,6,6,6,6,6,6,6,6,6,3,3,3,5,3,3,3,3,7,,1,,,1,1,,,2,3,4,4,4,5,3,3,3,1,2,33,13,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,623,120,4.36,0.84
92,262,Chat GPT,,,,,6,6,6,7,6,6,6,6,7,,,,1,,3,3,1,,,1,,,7,5,6,5,6,6,6,6,7,1,89,75,78,76,76,75,73,75,76,78,3,4,3,8,2,5,4,4,5,5,6,7,7,6,6,6,6,6,6,2,2,2,2,2,2,2,2,7,1,1,,,,1,1,,3,6,6,6,6,6,6,7,6,1,1,36,18,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,771,43,5.4,0.3
93,388,ChatGPT,Dall-E,Midjourney,,,6,3,5,5,5,6,5,5,6,1,1,,1,,2,1,3,,,1,,,5,4,4,5,6,6,6,6,6,1,63,38,25,64,22,82,78,76,78,48,23,45,8,8,44,45,3,3,5,4,5,3,3,2,7,4,6,6,5,2,2,2,2,2,3,3,3,7,,1,,,1,1,,,1,6,4,5,6,6,6,5,6,1,2,53,28,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,574,188,4.02,1.32
94,373,Acturis,,,,,2,6,2,6,6,4,6,4,6,,,,1,,3,2,1,,,1,,,5,5,5,5,6,5,6,6,5,1,80,64,50,81,63,43,43,45,65,50,0,3,0,0,0,0,0,0,0,0,5,5,5,5,6,4,5,5,5,3,2,3,3,3,5,2,3,7,,1,,,,,,,6,5,6,5,6,6,5,5,5,1,1,48,30,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,4,584,3,4.09,0.02
95,696,Chat gpt ,Microsoft copilot,,,,1,3,1,2,3,6,6,5,6,1,1,1,1,,1,1,3,,,1,,,5,6,6,5,6,6,6,6,5,1,75,59,13,82,0,61,19,39,18,23,4,2,13,3,4,5,5,4,3,6,5,5,3,3,4,3,3,3,3,1,1,2,5,2,5,1,2,1,,,,1,,1,,,5,5,5,5,5,6,3,4,2,1,1,33,15,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,389,49,2.72,0.34
96,436,chatbot,,,,,3,2,2,2,2,3,3,3,5,,,,1,,3,1,2,,,,1,,3,3,4,3,5,5,5,5,6,1,60,8,21,62,9,62,18,62,56,38,0,0,0,0,0,0,0,0,0,0,5,5,5,4,5,4,5,5,5,3,3,3,4,5,4,4,5,7,,,,1,,,,,1,4,5,5,3,5,2,4,3,1,1,31,10,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,396,0,2.77,0
97,447,Chip ,,,,,2,4,2,2,4,6,6,6,6,,,,1,,2,4,2,,,,,1,4,2,2,2,4,6,5,6,6,1,55,23,23,45,6,13,19,17,81,13,2,4,4,3,5,4,6,7,4,6,6,6,6,6,6,3,4,5,4,3,3,3,2,2,4,5,5,7,,,1,1,1,,,,4,5,6,4,6,6,5,5,3,1,1,35,20,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4,295,45,2.07,0.32
98,239,Chat GPT,,,,,7,5,3,6,6,6,6,6,6,,,,1,,1,1,3,,,,1,,4,4,4,4,6,6,5,6,5,1,88,86,83,88,89,85,88,86,87,71,7,2,24,16,2,3,3,10,3,11,5,4,5,4,4,6,6,6,4,4,2,4,3,5,4,4,4,7,,,,,,1,,,3,2,3,3,5,4,3,3,4,1,1,34,16,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,851,81,5.96,0.57
99,372,Internal chat gpt adaptation,MS copilot,,,,2,5,1,5,5,6,6,6,6,,,,1,,1,2,3,,,1,,,3,2,6,2,5,6,6,6,6,1,76,66,24,24,24,60,66,48,68,14,3,3,28,7,2,2,7,51,31,3,2,6,2,6,6,6,5,6,6,5,5,3,2,2,6,5,4,7,,,1,,1,1,,,5,6,6,6,6,5,5,5,5,1,2,42,19,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4,470,137,3.29,0.96
100,347,chat gpt,,,,,5,5,5,6,5,5,6,5,6,,,1,,,4,3,1,,,,,1,5,6,5,4,5,4,4,4,4,4,77,79,92,64,64,78,79,80,76,96,31,27,43,22,21,2,15,16,14,23,5,6,7,6,6,6,5,5,5,5,4,2,3,4,3,4,3,7,,1,,,1,,,,2,4,5,7,3,6,4,3,5,1,1,38,10,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,785,214,5.5,1.5
101,981,ChatGPT,,,,,4,5,5,6,6,5,5,5,6,1,1,1,1,,1,3,3,1,1,,,,5,6,6,6,6,5,6,7,6,1,74,71,70,61,67,75,70,77,76,75,14,8,7,9,2,4,2,4,5,3,6,5,6,5,5,6,6,6,6,2,2,2,2,2,1,2,2,7,,1,,1,1,,,,3,5,6,5,6,6,6,6,7,1,2,36,17,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,716,58,5.01,0.41
102,286,ChatGPT,,,,,3,2,2,3,3,5,5,5,5,1,,,1,,3,3,3,1,,,,,3,3,3,1,5,6,5,6,5,1,50,10,5,39,11,31,39,26,15,16,1,1,1,18,1,2,1,1,1,1,5,5,6,5,5,5,2,5,5,2,2,2,5,5,5,2,3,7,,,1,,1,,,,5,6,5,6,5,5,3,6,3,1,1,43,24,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,242,28,1.69,0.2
103,371,ChatGPT,Grammarly ,,,,1,7,1,5,5,6,5,7,6,,,,1,,1,2,2,,,1,,,7,7,7,7,7,7,7,7,7,1,79,10,40,65,0,85,70,80,90,75,0,0,15,0,0,0,10,0,0,0,3,5,3,5,7,5,5,5,5,1,5,1,3,3,5,3,7,7,,1,,1,1,,,,3,7,7,6,7,5,5,3,7,1,2,38,16,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4,594,25,4.16,0.18
104,1332,ChatGPT,CoPilot,,,,4,4,4,4,4,6,6,6,6,1,1,,1,,1,3,2,1,,,,,4,4,4,4,4,4,4,4,4,1,56,58,59,59,63,62,66,69,69,78,5,5,6,10,7,9,8,8,11,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,1,1,1,1,,1,,,2,2,2,2,2,7,2,2,2,7,1,25,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,639,79,4.47,0.55
105,517,ChatGPT,Autodraw,Wordtune,Flick,Hootsuite,6,7,7,7,7,6,6,6,6,1,1,1,1,,3,1,3,1,,,,,7,7,7,7,7,7,7,7,7,1,100,74,73,99,94,99,99,100,100,60,0,0,0,0,0,0,0,0,0,0,6,6,5,6,6,6,6,6,7,2,1,2,1,2,1,1,2,7,1,1,,,1,1,,,1,5,6,5,6,6,2,6,3,1,1,46,24,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,898,0,6.29,0
106,309,Chat GPT,,,,,2,2,2,2,2,5,5,5,5,,1,1,,,1,1,2,,,,1,,3,3,3,3,5,4,6,4,5,1,69,62,33,40,42,46,51,48,43,37,11,10,3,3,5,4,3,6,4,4,3,5,3,3,5,5,5,4,4,6,5,4,4,4,4,4,6,7,,,,,,1,1,,4,5,5,5,5,6,5,5,5,1,2,20,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,471,53,3.3,0.37
107,437,chatgpt,Grammarly,Calendly ,,,3,3,5,3,3,5,5,6,5,1,1,1,1,,1,1,3,1,1,1,,,6,5,6,5,6,6,6,6,5,1,58,41,18,52,40,60,61,54,65,68,7,4,23,9,4,4,8,4,3,4,5,5,4,3,6,5,5,5,5,2,3,2,3,3,3,2,3,7,,1,,1,,,,,3,5,5,5,5,6,5,6,6,1,2,23,7,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,517,70,3.62,0.49
108,412,chatgpt,,,,,2,4,4,4,4,4,4,4,5,1,1,1,1,,1,3,4,,,1,,,3,3,4,3,5,5,5,5,5,1,67,47,49,47,37,63,47,70,80,74,0,0,5,0,0,0,0,0,0,0,4,4,4,2,6,3,5,5,4,3,3,3,4,4,4,3,4,7,,1,,,1,,,,5,5,5,5,6,5,5,5,7,1,1,22,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4,581,5,4.07,0.04
109,327,Chatgpt,,,,,4,4,4,4,4,4,4,4,4,,,,,1,3,1,3,,,1,,,4,4,4,4,4,4,4,4,4,1,53,54,53,53,53,51,53,54,53,53,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,,1,,,,,,,1,4,4,4,4,4,4,4,4,1,2,58,39,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,530,0,3.71,0
110,862,chatgpt,,,,,1,3,4,1,5,6,5,6,6,,,,1,,3,1,3,,,,1,,3,3,6,3,5,6,5,6,6,1,80,75,83,76,14,44,93,90,87,70,0,0,79,0,1,42,41,1,0,0,4,5,5,4,5,5,6,6,5,3,2,2,3,3,2,2,3,7,,,,,1,1,,,3,1,1,5,4,5,5,5,5,1,1,49,33,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,712,164,4.98,1.15
111,289,Copilot,Gemini,ChatGPT,,,2,2,2,2,2,7,7,7,7,1,1,1,1,,1,3,3,1,,,,,5,5,6,5,7,7,7,7,7,1,95,82,3,85,13,55,79,78,80,80,4,5,91,49,13,15,68,13,39,37,6,6,5,6,6,6,6,6,6,4,3,3,3,2,3,2,3,7,,1,,,1,,,,1,7,7,6,5,6,6,5,5,1,2,23,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,650,334,4.55,2.34
